Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
Metal 4.0 - Forward Mobile - Using Device #0: Apple - Apple M4 (Apple9)

CAPTURE arrow-primary-440 modal=[P: (18.0, 187.0), S: (404.0, 525.0)] content=(372.0, 485.0)
CAPTURE arrow-secondary-440 modal=[P: (18.0, 187.0), S: (404.0, 525.0)] content=(372.0, 485.0)
CAPTURE cannon-primary-440 modal=[P: (18.0, 187.0), S: (404.0, 525.0)] content=(372.0, 485.0)
CAPTURE cannon-secondary-440 modal=[P: (18.0, 187.0), S: (404.0, 525.0)] content=(372.0, 485.0)
CAPTURE magic-primary-440 modal=[P: (18.0, 187.0), S: (404.0, 525.0)] content=(372.0, 485.0)
CAPTURE magic-secondary-440 modal=[P: (18.0, 187.0), S: (404.0, 525.0)] content=(372.0, 485.0)
CAPTURE frost-primary-440 modal=[P: (18.0, 187.0), S: (404.0, 525.0)] content=(372.0, 485.0)
CAPTURE frost-secondary-440 modal=[P: (18.0, 187.0), S: (404.0, 525.0)] content=(372.0, 485.0)
CAPTURE sniper-primary-440 modal=[P: (18.0, 187.0), S: (404.0, 525.0)] content=(372.0, 485.0)
CAPTURE sniper-secondary-440 modal=[P: (18.0, 187.0), S: (404.0, 525.0)] content=(372.0, 485.0)
CAPTURE lightning-primary-440 modal=[P: (18.0, 187.0), S: (404.0, 525.0)] content=(372.0, 485.0)
CAPTURE lightning-secondary-440 modal=[P: (18.0, 187.0), S: (404.0, 525.0)] content=(372.0, 485.0)
CAPTURE arrow-primary-320 modal=[P: (18.0, 81.0), S: (284.0, 557.0)] content=(252.0, 517.0)
CAPTURE short-top modal=[P: (18.0, 27.0), S: (404.0, 425.6)] content=(372.0, 485.0)
CAPTURE short-bottom modal=[P: (18.0, 27.0), S: (404.0, 425.6)] content=(372.0, 485.0)
CAPTURE short-320-top modal=[P: (18.0, 27.0), S: (284.0, 425.6)] content=(252.0, 517.0)
CAPTURE short-320-bottom modal=[P: (18.0, 27.0), S: (284.0, 425.6)] content=(252.0, 517.0)
CAPTURE level-locked modal=[P: (18.0, 175.0), S: (404.0, 549.0)] content=(372.0, 509.0)
CAPTURE primary-required modal=[P: (18.0, 175.0), S: (404.0, 549.0)] content=(372.0, 509.0)
CAPTURE shards-short modal=[P: (18.0, 175.0), S: (404.0, 549.0)] content=(372.0, 509.0)
CAPTURE already-selected modal=[P: (18.0, 175.0), S: (404.0, 549.0)] content=(372.0, 509.0)
TRAIT_MODAL_CAPTURE_COMPLETE
