Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 4.1 Metal - 90.5 - Compatibility - Using Device: Apple - Apple M4

battle-menu frame=0 rect=[P: (25.0, 384.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu frame=1 rect=[P: (25.0, 384.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu frame=2 rect=[P: (25.0, 384.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu frame=3 rect=[P: (25.0, 384.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu frame=4 rect=[P: (25.0, 384.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu frame=5 rect=[P: (25.0, 384.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu frame=6 rect=[P: (25.0, 384.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu frame=7 rect=[P: (25.0, 384.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu frame=8 rect=[P: (25.0, 384.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu frame=9 rect=[P: (25.0, 384.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu-small frame=0 rect=[P: (0.0, 218.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu-small frame=1 rect=[P: (0.0, 218.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu-small frame=2 rect=[P: (0.0, 218.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu-small frame=3 rect=[P: (0.0, 218.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu-small frame=4 rect=[P: (0.0, 218.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu-small frame=5 rect=[P: (0.0, 218.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu-small frame=6 rect=[P: (0.0, 218.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu-small frame=7 rect=[P: (0.0, 218.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu-small frame=8 rect=[P: (0.0, 218.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-menu-small frame=9 rect=[P: (0.0, 218.0), S: (390.0, 132.0)] body=(358.0, 92.0) min=(210.0, 92.0) scrollmin=(0.0, 100.0)
battle-confirm frame=0 rect=[P: (18.0, 35.0), S: (284.0, 497.76)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm frame=1 rect=[P: (18.0, 136.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm frame=2 rect=[P: (18.0, 136.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm frame=3 rect=[P: (18.0, 136.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm frame=4 rect=[P: (18.0, 136.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm frame=5 rect=[P: (18.0, 136.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm frame=6 rect=[P: (18.0, 136.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm frame=7 rect=[P: (18.0, 136.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm frame=8 rect=[P: (18.0, 136.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm frame=9 rect=[P: (18.0, 136.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm-wide frame=0 rect=[P: (78.0, 302.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm-wide frame=1 rect=[P: (78.0, 302.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm-wide frame=2 rect=[P: (78.0, 302.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm-wide frame=3 rect=[P: (78.0, 302.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm-wide frame=4 rect=[P: (78.0, 302.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm-wide frame=5 rect=[P: (78.0, 302.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm-wide frame=6 rect=[P: (78.0, 302.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
