Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 4.1 Metal - 90.5 - Compatibility - Using Device: Apple - Apple M4

레벨업 · 룬 14 button=[P: (24.0, 282.0), S: (120.0, 34.0)] chip=[P: (100.0, 288.0), S: (37.0, 22.0)] label=[P: (70.0, 285.0), S: (28.0, 28.0)] min=(37.0, 22.0)
레벨업 · 룬 7 button=[P: (176.0, 282.0), S: (120.0, 34.0)] chip=[P: (259.0, 288.0), S: (30.0, 22.0)] label=[P: (215.0, 285.0), S: (42.0, 28.0)] min=(30.0, 22.0)
레벨업 · 룬 55 button=[P: (24.0, 472.0), S: (120.0, 34.0)] chip=[P: (100.0, 478.0), S: (37.0, 22.0)] label=[P: (70.0, 475.0), S: (28.0, 28.0)] min=(37.0, 22.0)
레벨업 · 룬 55 button=[P: (176.0, 472.0), S: (120.0, 34.0)] chip=[P: (252.0, 478.0), S: (37.0, 22.0)] label=[P: (222.0, 475.0), S: (28.0, 28.0)] min=(37.0, 22.0)
레벨업 · 룬 60 button=[P: (24.0, 662.0), S: (120.0, 34.0)] chip=[P: (100.0, 668.0), S: (37.0, 22.0)] label=[P: (70.0, 665.0), S: (28.0, 28.0)] min=(37.0, 22.0)
레벨업 · 룬 4 button=[P: (24.0, 282.0), S: (120.0, 34.0)] chip=[P: (107.0, 288.0), S: (30.0, 22.0)] label=[P: (63.0, 285.0), S: (42.0, 28.0)] min=(30.0, 22.0)
레벨업 · 룬 7 button=[P: (176.0, 282.0), S: (120.0, 34.0)] chip=[P: (259.0, 288.0), S: (30.0, 22.0)] label=[P: (215.0, 285.0), S: (42.0, 28.0)] min=(30.0, 22.0)
레벨업 · 룬 7 button=[P: (24.0, 472.0), S: (120.0, 34.0)] chip=[P: (107.0, 478.0), S: (30.0, 22.0)] label=[P: (63.0, 475.0), S: (42.0, 28.0)] min=(30.0, 22.0)
레벨업 · 룬 30 button=[P: (176.0, 472.0), S: (120.0, 34.0)] chip=[P: (252.0, 478.0), S: (37.0, 22.0)] label=[P: (222.0, 475.0), S: (28.0, 28.0)] min=(37.0, 22.0)
레벨업 · 룬 70 button=[P: (24.0, 662.0), S: (120.0, 34.0)] chip=[P: (100.0, 668.0), S: (37.0, 22.0)] label=[P: (70.0, 665.0), S: (28.0, 28.0)] min=(37.0, 22.0)
레벨업 · 룬 70 button=[P: (176.0, 662.0), S: (120.0, 34.0)] chip=[P: (252.0, 668.0), S: (37.0, 22.0)] label=[P: (222.0, 665.0), S: (28.0, 28.0)] min=(37.0, 22.0)
레벨업 · 룬 14 button=[P: (24.0, 282.0), S: (180.0, 34.0)] chip=[P: (160.0, 288.0), S: (37.0, 22.0)] label=[P: (70.0, 285.0), S: (88.0, 28.0)] min=(37.0, 22.0)
레벨업 · 룬 7 button=[P: (236.0, 282.0), S: (180.0, 34.0)] chip=[P: (379.0, 288.0), S: (30.0, 22.0)] label=[P: (275.0, 285.0), S: (102.0, 28.0)] min=(30.0, 22.0)
레벨업 · 룬 55 button=[P: (24.0, 472.0), S: (180.0, 34.0)] chip=[P: (160.0, 478.0), S: (37.0, 22.0)] label=[P: (70.0, 475.0), S: (88.0, 28.0)] min=(37.0, 22.0)
레벨업 · 룬 55 button=[P: (236.0, 472.0), S: (180.0, 34.0)] chip=[P: (372.0, 478.0), S: (37.0, 22.0)] label=[P: (282.0, 475.0), S: (88.0, 28.0)] min=(37.0, 22.0)
레벨업 · 룬 60 button=[P: (24.0, 662.0), S: (180.0, 34.0)] chip=[P: (160.0, 668.0), S: (37.0, 22.0)] label=[P: (70.0, 665.0), S: (88.0, 28.0)] min=(37.0, 22.0)
레벨업 · 룬 4 button=[P: (24.0, 282.0), S: (180.0, 34.0)] chip=[P: (167.0, 288.0), S: (30.0, 22.0)] label=[P: (63.0, 285.0), S: (102.0, 28.0)] min=(30.0, 22.0)
레벨업 · 룬 7 button=[P: (236.0, 282.0), S: (180.0, 34.0)] chip=[P: (379.0, 288.0), S: (30.0, 22.0)] label=[P: (275.0, 285.0), S: (102.0, 28.0)] min=(30.0, 22.0)
레벨업 · 룬 7 button=[P: (24.0, 472.0), S: (180.0, 34.0)] chip=[P: (167.0, 478.0), S: (30.0, 22.0)] label=[P: (63.0, 475.0), S: (102.0, 28.0)] min=(30.0, 22.0)
레벨업 · 룬 30 button=[P: (236.0, 472.0), S: (180.0, 34.0)] chip=[P: (372.0, 478.0), S: (37.0, 22.0)] label=[P: (282.0, 475.0), S: (88.0, 28.0)] min=(37.0, 22.0)
레벨업 · 룬 70 button=[P: (24.0, 662.0), S: (180.0, 34.0)] chip=[P: (160.0, 668.0), S: (37.0, 22.0)] label=[P: (70.0, 665.0), S: (88.0, 28.0)] min=(37.0, 22.0)
레벨업 · 룬 70 button=[P: (236.0, 662.0), S: (180.0, 34.0)] chip=[P: (372.0, 668.0), S: (37.0, 22.0)] label=[P: (282.0, 665.0), S: (88.0, 28.0)] min=(37.0, 22.0)
