Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 4.1 Metal - 90.5 - Compatibility - Using Device: Apple - Apple M4

레벨업 · 룬 14 button=[P: (24.0, 282.0), S: (120.0, 34.0)] chip=[P: (82.0, 285.0), S: (55.0, 28.0)] label=[P: (31.0, 285.0), S: (49.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 7 button=[P: (176.0, 282.0), S: (120.0, 34.0)] chip=[P: (241.0, 285.0), S: (48.0, 28.0)] label=[P: (183.0, 285.0), S: (56.0, 28.0)] min=(48.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 472.0), S: (120.0, 34.0)] chip=[P: (82.0, 475.0), S: (55.0, 28.0)] label=[P: (31.0, 475.0), S: (49.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 55 button=[P: (176.0, 472.0), S: (120.0, 34.0)] chip=[P: (234.0, 475.0), S: (55.0, 28.0)] label=[P: (183.0, 475.0), S: (49.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 662.0), S: (120.0, 34.0)] chip=[P: (82.0, 665.0), S: (55.0, 28.0)] label=[P: (31.0, 665.0), S: (49.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 4 button=[P: (24.0, 282.0), S: (120.0, 34.0)] chip=[P: (89.0, 285.0), S: (48.0, 28.0)] label=[P: (31.0, 285.0), S: (56.0, 28.0)] min=(48.0, 28.0)
레벨업 · 룬 7 button=[P: (176.0, 282.0), S: (120.0, 34.0)] chip=[P: (241.0, 285.0), S: (48.0, 28.0)] label=[P: (183.0, 285.0), S: (56.0, 28.0)] min=(48.0, 28.0)
레벨업 · 룬 7 button=[P: (24.0, 472.0), S: (120.0, 34.0)] chip=[P: (89.0, 475.0), S: (48.0, 28.0)] label=[P: (31.0, 475.0), S: (56.0, 28.0)] min=(48.0, 28.0)
레벨업 · 룬 30 button=[P: (176.0, 472.0), S: (120.0, 34.0)] chip=[P: (234.0, 475.0), S: (55.0, 28.0)] label=[P: (183.0, 475.0), S: (49.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 70 button=[P: (24.0, 662.0), S: (120.0, 34.0)] chip=[P: (82.0, 665.0), S: (55.0, 28.0)] label=[P: (31.0, 665.0), S: (49.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 70 button=[P: (176.0, 662.0), S: (120.0, 34.0)] chip=[P: (234.0, 665.0), S: (55.0, 28.0)] label=[P: (183.0, 665.0), S: (49.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 14 button=[P: (24.0, 284.0), S: (120.0, 34.0)] chip=[P: (82.0, 287.0), S: (55.0, 28.0)] label=[P: (31.0, 287.0), S: (49.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 65620 button=[P: (176.0, 284.0), S: (120.0, 34.0)] chip=[P: (214.0, 287.0), S: (75.0, 28.0)] label=[P: (183.0, 287.0), S: (29.0, 28.0)] min=(75.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 474.0), S: (120.0, 34.0)] chip=[P: (82.0, 477.0), S: (55.0, 28.0)] label=[P: (31.0, 477.0), S: (49.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 55 button=[P: (176.0, 474.0), S: (120.0, 34.0)] chip=[P: (234.0, 477.0), S: (55.0, 28.0)] label=[P: (183.0, 477.0), S: (49.0, 28.0)] min=(55.0, 28.0)
