Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 4.1 Metal - 90.5 - Compatibility - Using Device: Apple - Apple M4

레벨업 · 룬 14 button=[P: (24.0, 282.0), S: (120.0, 34.0)] chip=[P: (90.0, 285.0), S: (47.0, 28.0)] label=[P: (31.0, 285.0), S: (57.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 7 button=[P: (176.0, 282.0), S: (120.0, 34.0)] chip=[P: (249.0, 285.0), S: (40.0, 28.0)] label=[P: (183.0, 285.0), S: (64.0, 28.0)] min=(40.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 472.0), S: (120.0, 34.0)] chip=[P: (90.0, 475.0), S: (47.0, 28.0)] label=[P: (31.0, 475.0), S: (57.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 55 button=[P: (176.0, 472.0), S: (120.0, 34.0)] chip=[P: (242.0, 475.0), S: (47.0, 28.0)] label=[P: (183.0, 475.0), S: (57.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 662.0), S: (120.0, 34.0)] chip=[P: (90.0, 665.0), S: (47.0, 28.0)] label=[P: (31.0, 665.0), S: (57.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 4 button=[P: (24.0, 282.0), S: (120.0, 34.0)] chip=[P: (97.0, 285.0), S: (40.0, 28.0)] label=[P: (31.0, 285.0), S: (64.0, 28.0)] min=(40.0, 28.0)
레벨업 · 룬 7 button=[P: (176.0, 282.0), S: (120.0, 34.0)] chip=[P: (249.0, 285.0), S: (40.0, 28.0)] label=[P: (183.0, 285.0), S: (64.0, 28.0)] min=(40.0, 28.0)
레벨업 · 룬 7 button=[P: (24.0, 472.0), S: (120.0, 34.0)] chip=[P: (97.0, 475.0), S: (40.0, 28.0)] label=[P: (31.0, 475.0), S: (64.0, 28.0)] min=(40.0, 28.0)
레벨업 · 룬 30 button=[P: (176.0, 472.0), S: (120.0, 34.0)] chip=[P: (242.0, 475.0), S: (47.0, 28.0)] label=[P: (183.0, 475.0), S: (57.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 70 button=[P: (24.0, 662.0), S: (120.0, 34.0)] chip=[P: (90.0, 665.0), S: (47.0, 28.0)] label=[P: (31.0, 665.0), S: (57.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 70 button=[P: (176.0, 662.0), S: (120.0, 34.0)] chip=[P: (242.0, 665.0), S: (47.0, 28.0)] label=[P: (183.0, 665.0), S: (57.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 14 button=[P: (24.0, 284.0), S: (120.0, 34.0)] chip=[P: (90.0, 287.0), S: (47.0, 28.0)] label=[P: (31.0, 287.0), S: (57.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 65620 button=[P: (176.0, 284.0), S: (120.0, 34.0)] chip=[P: (222.0, 287.0), S: (67.0, 28.0)] label=[P: (183.0, 287.0), S: (37.0, 28.0)] min=(67.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 474.0), S: (120.0, 34.0)] chip=[P: (90.0, 477.0), S: (47.0, 28.0)] label=[P: (31.0, 477.0), S: (57.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 55 button=[P: (176.0, 474.0), S: (120.0, 34.0)] chip=[P: (242.0, 477.0), S: (47.0, 28.0)] label=[P: (183.0, 477.0), S: (57.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 664.0), S: (120.0, 34.0)] chip=[P: (90.0, 667.0), S: (47.0, 28.0)] label=[P: (31.0, 667.0), S: (57.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 14 button=[P: (24.0, 274.0), S: (120.0, 34.0)] chip=[P: (90.0, 277.0), S: (47.0, 28.0)] label=[P: (31.0, 277.0), S: (57.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 65620 button=[P: (176.0, 274.0), S: (120.0, 34.0)] chip=[P: (222.0, 277.0), S: (67.0, 28.0)] label=[P: (183.0, 277.0), S: (37.0, 28.0)] min=(67.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 464.0), S: (120.0, 34.0)] chip=[P: (90.0, 467.0), S: (47.0, 28.0)] label=[P: (31.0, 467.0), S: (57.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 55 button=[P: (176.0, 464.0), S: (120.0, 34.0)] chip=[P: (242.0, 467.0), S: (47.0, 28.0)] label=[P: (183.0, 467.0), S: (57.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 654.0), S: (120.0, 34.0)] chip=[P: (90.0, 657.0), S: (47.0, 28.0)] label=[P: (31.0, 657.0), S: (57.0, 28.0)] min=(47.0, 28.0)
