stage,round,length,count,durability,gold,spawnEnd,spawnPeak,catchPairs,firstCatchTile,peak25,peak50,peak75,peakCore,mid2TilePeak,mid2TileDenseSeconds
1,1,1200.0,6,210.0,53,8.5,1,0,-1,1,1,1,1,2,0
1,2,1200.0,8,300.09656951016206,64,10.85,1,0,-1,1,1,1,1,2,0
1,3,1200.0,9,361.83998182406606,70,7.250000000000001,2,0,-1,2,2,2,2,5,0
1,4,1200.0,10,382.88591255026904,76,10.5,2,21,0.6204545454545488,3,3,2,2,5,0
1,5,1200.0,9,506.6910377367915,107,10.35,1,8,2.1,2,2,1,1,4,0
1,6,1200.0,16,718.4204896855324,108,16.85,2,47,1.163352272727273,3,3,3,3,6,0.05432234432234395
1,7,1200.0,16,651.7581235994712,109,13.909999999999998,2,60,0.5428977272727268,3,3,3,2,6,0.390805860805866
1,8,1200.0,13,654.6754314631258,95,9.92,3,13,0.27920454545454576,3,2,2,2,3,0
1,9,1200.0,15,1086.447102993563,114,14.73,2,56,0.45937499999999987,3,3,3,2,5,0
1,10,1200.0,12,2017.2173277025777,198,10.280000000000001,2,22,0.24882812499999993,2,3,2,2,6,0.015714285714288678
1,11,1200.0,17,1086.0,118,17.805,2,48,1.163352272727273,3,3,3,3,5,0
1,12,1200.0,18,1043.90735251035,124,15.844999999999999,2,77,0.5428977272727268,3,3,3,2,6,0.5540476190476227
1,13,1200.0,15,1056.8024865972723,110,10.98,3,18,0.27920454545454576,3,2,2,2,3,0
1,14,1200.0,16,1622.6483367885996,124,15.86,2,61,0.45937499999999987,3,3,3,2,6,0.5393223443223434
1,15,1200.0,18,1786.6137111864991,176,15.67,2,63,0.5428977272727268,3,3,3,2,6,0.6016666666666701
1,16,1200.0,19,1697.0562748477141,133,19.51,2,60,1.1633522727272758,3,3,3,3,6,0.3197802197802204
1,17,1200.0,20,1649.0996243633135,139,17.75,2,92,0.5428977272727268,3,3,3,3,6,0.6805860805860853
1,18,1200.0,18,2017.6349525488895,134,12.0,4,31,0.27920454545454504,3,2,2,2,3,0
1,19,1200.0,18,2778.797398041229,143,18.54,2,81,0.45937500000000014,3,4,3,2,8,2.997252747252748
1,20,1200.0,14,4247.166177475548,238,11.95,2,27,0.24882812499999993,2,3,2,2,6,0.0952380952380949
1,21,1200.0,20,2540.0,143,20.369999999999997,2,62,1.163352272727273,3,3,3,3,6,0.3925641025641049
1,22,1200.0,22,2576.5434039372485,154,19.625,2,107,0.5428977272727268,3,3,3,3,6,0.7223443223443269
1,23,1200.0,20,3115.269938751959,149,12.979999999999999,4,39,0.27920454545454504,3,2,2,2,3,0
1,24,1200.0,20,4210.5138936396115,158,20.444999999999997,2,101,0.45937500000000014,3,4,3,3,9,3.568076923076937
1,25,1200.0,23,4723.8383205669625,225,20.700000000000003,2,96,0.5428977272727268,3,3,3,3,6,1.1970695970696035
1,26,1200.0,22,3914.543140648727,158,21.95,2,72,1.163352272727273,3,3,3,3,6,0.5156410256410311
1,27,1200.0,24,3989.3660030553683,169,21.47,2,118,0.5428977272727268,3,3,3,3,6,0.808205128205131
1,28,1200.0,23,5451.838084343052,173,13.919999999999998,4,56,0.23624999999999963,3,2,2,2,4,0
1,29,1200.0,22,6922.618079330779,177,23.11,2,122,0.4593749999999996,3,4,3,3,8,4.05670329670329
1,30,1200.0,17,9696.078848050498,287,15.110000000000001,2,45,0.2488281250000001,2,3,3,2,7,1.2709523809523837
1,31,1200.0,23,5816.0,168,22.715,2,74,1.163352272727273,3,3,3,3,6,0.7823443223443256
1,32,1200.0,26,6130.544205707595,184,23.285,2,130,0.5428977272727268,3,3,3,3,6,0.9988827838827845
1,33,1200.0,25,8233.869808618747,188,14.819999999999999,4,67,0.27371093750000053,3,3,2,2,4,0
1,34,1200.0,23,10134.780810655346,187,24.224999999999998,2,124,0.4593749999999996,3,4,3,3,8,4.008479853479848
1,35,1200.0,28,11748.898437521855,274,25.610000000000003,2,124,0.5428977272727268,3,3,3,3,6,1.9890109890109926
1,36,1200.0,25,8869.947463204051,183,24.17,2,86,1.163352272727273,3,3,3,3,6,1.2205860805860809
1,37,1200.0,28,9361.06551476822,199,25.07,2,138,0.5428977272727268,3,3,3,3,6,1.1954212454212474
1,38,1200.0,27,12385.224539639876,203,15.680000000000001,4,79,0.25593749999999965,4,3,2,2,5,0
1,39,1200.0,26,16575.282725158206,211,27.619999999999997,2,156,0.4593749999999996,3,3,4,3,7,4.587838827838837
1,40,1200.0,20,21795.650682299813,336,18.21,2,67,0.24882812499999976,3,3,3,2,6,0.7685714285714198
2,1,1056.0,6,252.0,53,8.5,1,0,-1,1,1,1,1,2,0
2,2,1056.0,8,360.1158834121944,64,10.85,1,0,-1,1,1,1,1,2,0
2,3,1056.0,9,434.2079781888792,70,7.250000000000001,2,0,-1,2,2,2,2,5,0
2,4,1056.0,10,459.4630950603228,76,10.5,2,21,0.6204545454545488,3,3,3,2,5,0
2,5,1056.0,9,608.0292452841497,107,10.35,1,8,2.1,2,2,1,1,4,0
2,6,1056.0,16,862.1045876226389,108,16.85,2,41,1.163352272727273,3,3,3,3,6,0.0845054945054926
2,7,1056.0,16,782.1097483193657,109,13.909999999999998,2,60,0.5428977272727268,3,3,3,2,6,0.5392307692307696
2,8,1056.0,13,785.610517755751,95,9.92,3,13,0.27920454545454576,3,2,2,2,3,0
2,9,1056.0,15,1303.736523592276,114,14.73,2,56,0.45937499999999987,3,3,3,2,7,1.476593406593409
2,10,1056.0,12,2420.6607932430925,198,10.280000000000001,2,22,0.24882812499999993,2,3,2,2,6,0.04761904761904745
2,11,1056.0,17,1303.1999999999998,118,17.805,2,43,1.163352272727273,3,3,3,3,6,0.14824175824175967
2,12,1056.0,18,1252.688823012419,124,15.844999999999999,2,73,0.5428977272727268,3,3,3,3,6,0.6368498168498213
2,13,1056.0,15,1268.1629839167267,110,10.98,3,18,0.27920454545454576,3,2,2,2,3,0
2,14,1056.0,16,1947.178004146319,124,15.86,2,61,0.45937499999999987,3,4,3,2,8,1.8876190476190473
2,15,1056.0,18,2143.9364534237993,176,15.67,2,63,0.5428977272727268,3,3,3,2,6,0.444725274725279
2,16,1056.0,19,2036.4675298172572,133,19.51,2,52,1.1633522727272758,3,3,3,3,6,0.21959706959706438
2,17,1056.0,20,1978.9195492359768,139,17.75,2,86,0.5428977272727268,3,3,3,3,6,0.6705860805860837
2,18,1056.0,18,2421.161943058667,134,12.0,4,31,0.27920454545454504,3,2,2,2,3,0
2,19,1056.0,18,3334.556877649475,143,18.54,2,79,0.45937500000000014,3,4,3,3,9,2.9445054945054956
2,20,1056.0,14,5096.599412970656,238,11.95,2,27,0.24882812499999993,2,3,2,2,6,0.0952380952380949
2,21,1056.0,20,3047.9999999999995,143,20.369999999999997,2,53,1.163352272727273,3,3,3,3,6,0.3227472527472557
2,22,1056.0,22,3091.852084724697,154,19.625,2,95,0.5428977272727268,3,3,3,3,6,0.7086996336996414
2,23,1056.0,20,3738.3239265023517,149,12.979999999999999,4,39,0.27920454545454504,3,2,2,2,4,0
2,24,1056.0,20,5052.616672367533,158,20.444999999999997,2,94,0.45937500000000014,3,4,3,3,8,3.166172161172163
2,25,1056.0,23,5668.6059846803555,225,20.700000000000003,2,89,0.5428977272727268,3,3,3,3,6,1.1883333333333432
2,26,1056.0,22,4697.451768778474,158,21.95,2,62,1.163352272727273,3,3,3,3,6,0.714725274725275
2,27,1056.0,24,4787.239203666444,169,21.47,2,104,0.5428977272727268,3,3,3,3,6,0.8399633699633746
2,28,1056.0,23,6542.205701211664,173,13.919999999999998,4,56,0.23624999999999963,3,3,2,2,5,0
2,29,1056.0,22,8307.141695196937,177,23.11,2,110,0.4593749999999996,3,3,4,3,7,3.797985347985346
2,30,1056.0,17,11635.294617660602,287,15.110000000000001,2,45,0.2488281250000001,3,3,3,2,6,0.1280952380952307
2,31,1056.0,23,6979.199999999999,168,22.715,2,64,1.163352272727273,3,3,3,3,6,0.8273443223443309
2,32,1056.0,26,7356.65304684911,184,23.285,2,110,0.5428977272727268,3,3,3,3,6,0.8849633699633657
2,33,1056.0,25,9880.643770342498,188,14.819999999999999,4,67,0.27371093750000053,3,3,2,2,5,0
2,34,1056.0,23,12161.736972786413,187,24.224999999999998,2,111,0.4593749999999996,3,3,4,3,6,2.7741025641025665
2,35,1056.0,28,14098.678125026223,274,25.610000000000003,2,108,0.5428977272727268,3,3,3,3,6,1.642930402930407
2,36,1056.0,25,10643.936955844863,183,24.17,2,74,1.163352272727273,3,3,3,3,6,1.0736996336996292
2,37,1056.0,28,11233.27861772187,199,25.07,2,115,0.5428977272727268,3,3,3,3,6,1.0044688644688655
2,38,1056.0,27,14862.269447567855,203,15.680000000000001,4,79,0.25593749999999965,3,3,2,2,6,0.24135531135531352
2,39,1056.0,26,19890.33927018984,211,27.619999999999997,2,139,0.4593749999999996,3,3,4,3,6,3.357435897435895
2,40,1056.0,20,26154.780818759784,336,18.21,2,65,0.24882812499999976,3,3,3,3,6,0.047619047619051
3,1,1056.0,6,302.4,53,8.5,1,0,-1,1,1,1,1,2,0
3,2,1056.0,8,432.13906009463335,64,10.85,1,0,-1,1,1,1,1,2,0
3,3,1056.0,9,521.0495738266551,70,7.250000000000001,2,0,-1,2,2,2,2,5,0
3,4,1056.0,10,551.3557140723873,76,10.5,2,21,0.6204545454545488,3,3,3,2,5,0
3,5,1056.0,9,729.6350943409797,107,10.35,1,8,2.1,2,2,1,1,4,0
3,6,1056.0,16,1034.5255051471668,108,16.85,2,41,1.163352272727273,3,3,3,3,6,0.0845054945054926
